                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    101,                0.51793,                0.44379,                0.96888,                0.98732,                0.99742,                  0.995,                0.92509,                0.40002,                0.25582,                0.96084,             0.00095743,             0.00095743,             0.00095743
                    102,                0.50284,                0.41544,                0.99026,                0.99585,                      1,                  0.995,                0.91484,                0.41677,                0.26273,                0.96699,             0.00095271,             0.00095271,             0.00095271
                    103,                0.50534,                 0.4183,                0.98365,                0.99747,                0.99829,                  0.995,                0.90651,                0.41382,                0.26011,                0.95231,               0.000948,               0.000948,               0.000948
                    104,                0.50942,                0.41169,                0.99656,                0.99335,                      1,                  0.995,                0.91408,                 0.3954,                0.24124,                 0.9543,             0.00094328,             0.00094328,             0.00094328
                    105,                0.52598,                0.40565,                0.98414,                0.99787,                      1,                  0.995,                0.90131,                0.41663,                0.24712,                0.94947,             0.00093857,             0.00093857,             0.00093857
                    106,                0.50014,                0.40646,                0.98212,                0.99209,                0.99531,                  0.995,                0.91547,                0.38365,                0.24034,                0.92363,             0.00093385,             0.00093385,             0.00093385
                    107,                0.49987,                0.42214,                0.97946,                0.99419,                      1,                  0.995,                0.93348,                0.36976,                0.23985,                0.94397,             0.00092914,             0.00092914,             0.00092914
                    108,                0.50247,                 0.4302,                0.98392,                0.99669,                0.99849,                  0.995,                0.92914,                0.37064,                0.22016,                0.94745,             0.00092442,             0.00092442,             0.00092442
                    109,                0.49535,                0.38787,                0.98156,                0.99059,                0.99782,                  0.995,                 0.9158,                0.39383,                0.24232,                 0.9599,              0.0009197,              0.0009197,              0.0009197
                    110,                 0.4863,                0.39971,                0.98416,                0.97798,                0.99375,                0.99494,                 0.9065,                0.39401,                0.24237,                0.96023,             0.00091499,             0.00091499,             0.00091499
                    111,                 0.5112,                0.40739,                0.99472,                 0.9962,                      1,                  0.995,                  0.919,                0.37801,                0.22196,                0.93937,             0.00091027,             0.00091027,             0.00091027
                    112,                0.51545,                 0.4023,                0.97697,                0.99823,                0.99985,                  0.995,                0.92421,                0.39322,                0.22615,                0.93947,             0.00090556,             0.00090556,             0.00090556
                    113,                0.51363,                0.40841,                0.98973,                0.99837,                0.99483,                  0.995,                0.92181,                0.39179,                0.22022,                0.92091,             0.00090084,             0.00090084,             0.00090084
                    114,                0.47757,                0.36935,                0.96182,                0.99759,                0.99873,                  0.995,                0.92101,                0.39174,                 0.2364,                0.94093,             0.00089613,             0.00089613,             0.00089613
                    115,                0.50811,                 0.3945,                0.97841,                0.99527,                 0.9988,                  0.995,                0.92012,                0.38642,                0.23796,                 0.9507,             0.00089141,             0.00089141,             0.00089141
                    116,                0.52535,                0.39781,                0.99405,                 0.9954,                0.97222,                0.99143,                0.90621,                0.40861,                0.23153,                0.97629,             0.00088669,             0.00088669,             0.00088669
                    117,                0.47215,                0.38661,                0.98144,                0.99442,                 0.9956,                  0.995,                0.92756,                0.37618,                 0.2264,                0.94098,             0.00088198,             0.00088198,             0.00088198
                    118,                0.50248,                0.38434,                0.97193,                0.99664,                      1,                  0.995,                0.92531,                0.38566,                 0.2352,                0.95092,             0.00087726,             0.00087726,             0.00087726
                    119,                0.52076,                 0.3878,                0.99087,                0.99708,                      1,                  0.995,                0.93367,                0.36913,                0.22042,                0.94912,             0.00087255,             0.00087255,             0.00087255
                    120,                0.50905,                0.39523,                 0.9791,                0.99812,                0.99968,                  0.995,                0.91717,                0.39457,                0.22127,                0.96722,             0.00086783,             0.00086783,             0.00086783
                    121,                0.49816,                0.38968,                0.98105,                0.99782,                      1,                  0.995,                0.91881,                0.39597,                0.22261,                0.96738,             0.00086312,             0.00086312,             0.00086312
                    122,                 0.4792,                0.38333,                0.96641,                0.99801,                      1,                  0.995,                0.92624,                0.37523,                0.21823,                0.93364,              0.0008584,              0.0008584,              0.0008584
                    123,                0.46014,                0.36971,                0.95969,                0.99761,                      1,                  0.995,                0.91213,                0.40182,                0.22341,                0.96627,             0.00085368,             0.00085368,             0.00085368
                    124,                 0.4674,                0.38843,                 0.9702,                0.99708,                      1,                  0.995,                0.92318,                0.38271,                0.22774,                0.94271,             0.00084897,             0.00084897,             0.00084897
                    125,                0.48123,                0.39142,                0.97329,                0.99428,                0.98798,                  0.995,                0.91371,                0.41894,                0.23903,                0.99231,             0.00084425,             0.00084425,             0.00084425
                    126,                0.48513,                 0.3966,                0.97413,                0.99795,                      1,                  0.995,                0.92552,                0.40174,                0.22214,                0.99006,             0.00083954,             0.00083954,             0.00083954
                    127,                0.47395,                0.37324,                0.95349,                0.99764,                0.99899,                  0.995,                0.92139,                0.38683,                0.21409,                0.96603,             0.00083482,             0.00083482,             0.00083482
                    128,                0.48266,                0.39121,                0.96591,                0.98197,                0.99823,                0.99494,                 0.9274,                0.38565,                0.24374,                0.93599,             0.00083011,             0.00083011,             0.00083011
                    129,                0.49989,                0.38975,                0.96301,                0.99187,                0.97222,                0.98463,                0.90607,                0.40869,                0.26051,                0.98231,             0.00082539,             0.00082539,             0.00082539
                    130,                0.46474,                0.38885,                0.96753,                0.98881,                0.99331,                0.99494,                0.92524,                0.39425,                0.27044,                0.98568,             0.00082067,             0.00082067,             0.00082067
                    131,                0.48725,                0.38641,                0.97198,                0.99813,                      1,                  0.995,                  0.914,                0.41433,                0.23737,                 1.0127,             0.00081596,             0.00081596,             0.00081596
                    132,                0.51493,                0.41397,                0.98379,                0.99467,                      1,                  0.995,                0.90968,                0.39815,                 0.2413,                0.96993,             0.00081124,             0.00081124,             0.00081124
                    133,                0.49373,                0.39272,                0.97401,                0.98903,                0.97222,                0.99257,                0.91222,                 0.3985,                0.24063,                0.97274,             0.00080653,             0.00080653,             0.00080653
                    134,                 0.4818,                0.39467,                0.98177,                0.98736,                0.97791,                  0.995,                0.91701,                 0.3817,                0.24111,                0.94841,             0.00080181,             0.00080181,             0.00080181
                    135,                0.45549,                0.36043,                0.95233,                 0.9972,                0.99942,                  0.995,                 0.9202,                 0.3698,                0.21759,                0.93397,              0.0007971,              0.0007971,              0.0007971
                    136,                0.45668,                0.37841,                0.96361,                0.99783,                      1,                  0.995,                0.90906,                 0.4244,                 0.2305,                0.94443,             0.00079238,             0.00079238,             0.00079238
                    137,                0.46021,                0.37666,                0.97149,                0.99767,                      1,                  0.995,                0.91893,                0.40079,                0.23242,                0.96435,             0.00078766,             0.00078766,             0.00078766
                    138,                 0.4654,                0.37171,                0.96968,                0.99813,                      1,                  0.995,                0.91563,                0.38376,                0.21621,                0.96643,             0.00078295,             0.00078295,             0.00078295
                    139,                 0.4606,                0.36489,                0.95903,                0.99534,                0.99647,                  0.995,                0.91584,                0.40942,                0.23045,                0.97427,             0.00077823,             0.00077823,             0.00077823
                    140,                0.46333,                0.35904,                0.95846,                0.99655,                0.99841,                  0.995,                0.92445,                0.39019,                0.20768,                0.97975,             0.00077352,             0.00077352,             0.00077352
                    141,                 0.4649,                0.37256,                0.96215,                0.99197,                0.99953,                  0.995,                0.92519,                0.38985,                0.21117,                0.99266,              0.0007688,              0.0007688,              0.0007688
                    142,                 0.4613,                0.37869,                0.96653,                0.87452,                0.95604,                0.95222,                0.87363,                0.38391,                0.38094,                0.93924,             0.00076409,             0.00076409,             0.00076409
                    143,                0.44723,                0.36529,                0.95005,                 0.9983,                0.99957,                  0.995,                0.91122,                0.38997,                 0.2217,                0.94385,             0.00075937,             0.00075937,             0.00075937
                    144,                0.44977,                0.34686,                0.93984,                0.99745,                0.99917,                  0.995,                 0.9278,                0.38442,                0.22344,                0.95755,             0.00075465,             0.00075465,             0.00075465
                    145,                0.46345,                0.36913,                0.95415,                0.99683,                0.99915,                  0.995,                0.91086,                 0.3984,                0.21945,                0.96465,             0.00074994,             0.00074994,             0.00074994
                    146,                0.44272,                0.35688,                0.95795,                0.99691,                0.99923,                  0.995,                0.92016,                0.39972,                0.23952,                0.96518,             0.00074522,             0.00074522,             0.00074522
                    147,                0.45806,                0.36679,                0.96002,                0.99718,                0.99867,                  0.995,                0.92231,                0.41306,                0.22937,                0.98379,             0.00074051,             0.00074051,             0.00074051
                    148,                0.46687,                0.36488,                0.96886,                0.99845,                0.99519,                  0.995,                0.93211,                 0.4048,                0.21273,                0.97069,             0.00073579,             0.00073579,             0.00073579
                    149,                0.44737,                0.35766,                0.95712,                0.99642,                0.99861,                  0.995,                0.92312,                0.40059,                0.22015,                0.98732,             0.00073108,             0.00073108,             0.00073108
                    150,                0.46074,                0.37699,                0.95922,                0.99711,                0.99898,                  0.995,                 0.9279,                0.39528,                0.22009,                0.97846,             0.00072636,             0.00072636,             0.00072636
                    151,                 0.4413,                0.34369,                0.94543,                0.99755,                0.99869,                  0.995,                0.92478,                0.39494,                0.21645,                0.95911,             0.00072164,             0.00072164,             0.00072164
                    152,                0.43318,                0.39007,                0.95059,                0.99719,                0.99847,                  0.995,                0.92481,                0.38737,                0.21626,                0.97373,             0.00071693,             0.00071693,             0.00071693
                    153,                0.44641,                0.35897,                0.96024,                0.99825,                      1,                  0.995,                0.91922,                0.37113,                0.20401,                0.93674,             0.00071221,             0.00071221,             0.00071221
                    154,                0.45122,                0.35653,                0.95344,                0.99814,                      1,                  0.995,                 0.9205,                 0.3969,                0.22614,                0.94887,              0.0007075,              0.0007075,              0.0007075
                    155,                0.45377,                0.37069,                0.95582,                0.99804,                      1,                  0.995,                0.92581,                0.40182,                0.21832,                0.97038,             0.00070278,             0.00070278,             0.00070278
