                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    128,                0.32232,                0.27161,                0.95549,                0.97113,                0.96972,                0.96029,                0.85994,                0.60048,                0.24436,                 1.2015,             0.00061904,             0.00061904,             0.00061904
                    129,                0.32119,                0.26988,                0.95344,                0.94858,                0.96878,                0.93077,                0.82886,                0.58453,                0.27604,                 1.1562,             0.00061079,             0.00061079,             0.00061079
                    130,                0.31797,                0.27068,                0.95896,                0.94552,                0.96316,                0.93377,                0.83878,                  0.585,                 0.2624,                 1.1798,             0.00060254,             0.00060254,             0.00060254
                    131,                0.31163,                 0.2524,                0.94818,                0.96761,                0.96152,                0.95264,                0.85456,                0.57664,                0.22242,                 1.2004,             0.00059429,             0.00059429,             0.00059429
                    132,                0.31617,                0.26686,                0.95114,                0.96302,                0.94766,                 0.9616,                0.85778,                0.59479,                0.26004,                 1.2024,             0.00058603,             0.00058603,             0.00058603
                    133,                  0.318,                0.26617,                0.95389,                0.94766,                0.96898,                0.95429,                0.85039,                0.58951,                0.24454,                 1.1957,             0.00057778,             0.00057778,             0.00057778
                    134,                0.31602,                0.26357,                0.95787,                0.93888,                0.96805,                0.95351,                0.85013,                 0.5866,                0.26891,                 1.1881,             0.00056953,             0.00056953,             0.00056953
                    135,                0.30885,                0.26357,                0.95434,                0.96499,                0.95523,                0.97494,                0.86392,                0.61535,                0.24021,                  1.189,             0.00056128,             0.00056128,             0.00056128
                    136,                0.30081,                0.26234,                0.94361,                0.96229,                0.96409,                0.96589,                0.85888,                0.59644,                0.23317,                 1.2211,             0.00055303,             0.00055303,             0.00055303
                    137,                0.31578,                0.26335,                0.94755,                0.94805,                0.96915,                0.95513,                0.85948,                0.57588,                 0.2585,                 1.1537,             0.00054478,             0.00054478,             0.00054478
                    138,                0.31368,                0.26794,                0.95026,                 0.9382,                0.96878,                0.95001,                0.85309,                0.58105,                0.26082,                 1.1602,             0.00053652,             0.00053652,             0.00053652
                    139,                0.30716,                0.25434,                0.95147,                0.96331,                0.96906,                0.95463,                0.86654,                 0.5634,                0.24548,                 1.1498,             0.00052827,             0.00052827,             0.00052827
                    140,                0.30769,                 0.2665,                0.95019,                0.96737,                0.96754,                0.95429,                0.85482,                0.58245,                0.23185,                  1.189,             0.00052002,             0.00052002,             0.00052002
                    141,                0.30721,                0.26284,                0.94975,                0.94519,                0.96878,                0.93405,                0.82969,                0.59963,                0.24936,                 1.2125,             0.00051177,             0.00051177,             0.00051177
                    142,                0.30507,                0.25471,                0.94669,                0.97267,                0.96043,                0.97302,                0.86442,                0.58956,                0.24548,                 1.2046,             0.00050352,             0.00050352,             0.00050352
                    143,                0.30268,                0.26605,                0.94892,                0.94804,                0.96878,                0.96565,                0.86399,                0.59361,                0.24117,                  1.182,             0.00049527,             0.00049527,             0.00049527
                    144,                0.29716,                0.25024,                0.93899,                0.94575,                0.96878,                0.95125,                0.84482,                0.58998,                 0.2371,                 1.1926,             0.00048701,             0.00048701,             0.00048701
                    145,                0.30764,                0.25808,                0.94854,                0.94327,                0.96812,                0.95916,                0.85388,                0.58123,                0.25885,                 1.1808,             0.00047876,             0.00047876,             0.00047876
                    146,                0.31161,                0.25525,                0.94658,                0.94816,                0.96907,                0.97605,                0.88317,                0.58483,                0.25862,                 1.1862,             0.00047051,             0.00047051,             0.00047051
                    147,                0.29467,                0.24697,                0.94603,                 0.9676,                0.96329,                0.96376,                0.85681,                0.60235,                0.24906,                 1.2291,             0.00046226,             0.00046226,             0.00046226
